Student,Date,Course,Block,Attendance
Alice,2024-10-01,French 9,2-1,P
Alice,2024-10-01,Art 9,2-2,P
Alice,2024-10-01,PE 9,2-3,L
Alice,2024-10-02,Math 9,1-1,P
Alice,2024-10-02,Science 9,1-2,L
Alice,2024-10-02,English 9,1-3,P
Alice,2024-10-02,Socials 9,1-4,P
Alice,2024-10-03,French 9,2-1,L
Alice,2024-10-03,Art 9,2-2,P
Alice,2024-10-03,PE 9,2-3,P
Alice,2024-10-04,Math 9,1-1,P
Alice,2024-10-04,Science 9,1-2,P
Alice,2024-10-04,English 9,1-3,P
Alice,2024-10-04,Socials 9,1-4,P
Alice,2024-10-05,French 9,2-1,L
Alice,2024-10-05,Art 9,2-2,P
Alice,2024-10-05,PE 9,2-3,P
Bob,2024-10-01,French 8,2-1,AE
Bob,2024-10-01,Art 8,2-2,P
Bob,2024-10-01,PE 8,2-3,AE
Bob,2024-10-02,Math 8,1-1,P
Bob,2024-10-02,Science 8,1-2,P
Bob,2024-10-02,English 8,1-3,P
Bob,2024-10-02,Socials 8,1-4,P
Bob,2024-10-03,French 8,2-1,P
Bob,2024-10-03,Art 8,2-2,L
Bob,2024-10-03,PE 8,2-3,P
Bob,2024-10-04,Math 8,1-1,P
Bob,2024-10-04,Science 8,1-2,P
Bob,2024-10-04,English 8,1-3,P
Bob,2024-10-04,Socials 8,1-4,A
Bob,2024-10-05,French 8,2-1,P
Bob,2024-10-05,Art 8,2-2,P
Bob,2024-10-05,PE 8,2-3,L
Charlie,2024-10-01,French 9,2-1,P
Charlie,2024-10-01,Art 9,2-2,P
Charlie,2024-10-01,PE 9,2-3,L
Charlie,2024-10-02,Math 9,1-1,P
Charlie,2024-10-02,Science 9,1-2,P
Charlie,2024-10-02,English 9,1-3,P
Charlie,2024-10-02,Socials 9,1-4,P
Charlie,2024-10-03,French 9,2-1,P
Charlie,2024-10-03,Art 9,2-2,AE
Charlie,2024-10-03,PE 9,2-3,L
Charlie,2024-10-04,Math 9,1-1,P
Charlie,2024-10-04,Science 9,1-2,P
Charlie,2024-10-04,English 9,1-3,AE
Charlie,2024-10-04,Socials 9,1-4,L
Charlie,2024-10-05,French 9,2-1,P
Charlie,2024-10-05,Art 9,2-2,P
Charlie,2024-10-05,PE 9,2-3,P
David,2024-10-01,Socials 8,2-1,P
David,2024-10-01,French 8,2-2,A
