Date,Student,Course,Teacher,Block,Attendance,Habit,Work
2023-10-10,Alice,Support 9,Ms. Lane,2-4,P,Equally On/Off-task,French
2023-10-08,Alice,Support 9,Ms. Lane,2-4,A,,
2023-10-14,Alice,Support 9,Ms. Lane,2-4,AE,,
2023-10-02,Alice,Support 9,Ms. Lane,2-4,P,On-task,Math
2023-10-04,Alice,Support 9,Ms. Lane,2-4,P,On-task,English
2023-10-16,Alice,Support 9,Ms. Lane,2-4,L,On-task,Science
2023-10-08,Bob,Support 8,Ms. Lane,2-4,P,Equally On/Off-task,Science
2023-10-14,Bob,Support 8,Ms. Lane,2-4,P,Equally On/Off-task,French
2023-10-10,Bob,Support 8,Ms. Lane,2-4,P,Equally On/Off-task,Science
2023-10-04,Bob,Support 8,Ms. Lane,2-4,P,Mostly Off-task,Socials
2023-10-02,Bob,Support 8,Ms. Lane,2-4,P,Off-task,Other
2023-10-16,Bob,Support 8,Ms. Lane,2-4,A,,
2023-10-10,Charlie,Support 9,Ms. Lane,2-4,AE,,
2023-10-02,Charlie,Support 9,Ms. Lane,2-4,P,Equally On/Off-task,Socials
2023-10-08,Charlie,Support 9,Ms. Lane,2-4,P,Equally On/Off-task,Science
2023-10-16,Charlie,Support 9,Ms. Lane,2-4,AE,,
2023-10-04,Charlie,Support 9,Ms. Lane,2-4,AE,,
2023-10-14,Charlie,Support 9,Ms. Lane,2-4,AE,,
2023-10-03,David,Support 8,Ms. Lane,1-1,P,On-task,Science
2023-10-09,David,Support 8,Ms. Lane,1-1,P,On-task,English
2023-10-11,David,Support 8,Ms. Lane,1-1,P,On-task,Other
2023-10-17,David,Support 8,Ms. Lane,1-1,P,On-task,English
2023-10-07,David,Support 8,Ms. Lane,1-1,AE,Mostly On-task,English
2023-10-15,David,Support 8,Ms. Lane,1-1,AE,,
2023-10-01,David,Support 8,Ms. Lane,1-1,P,On-task,English
2023-10-17,Eva,Support 9,Ms Lane,1-1,L,Equally On/Off-task,Socials
2023-10-11,Eva,Support 9,Ms Lane,1-1,P,On-task,Socials
2023-10-01,Eva,Support 9,Ms Lane,1-1,P,Equally On/Off-task,English
2023-10-15,Eva,Support 9,Ms Lane,1-1,A,,
2023-10-09,Eva,Support 9,Ms Lane,1-1,P,Mostly On-task,Socials
2023-10-03,Eva,Support 9,Ms Lane,1-1,P,Equally On/Off-task,English
2023-10-07,Eva,Support 9,Ms Lane,1-1,L,Equally On/Off-task,French
2023-10-11,Frank,Support 8,Ms. Lane,1-1,A,,
2023-10-17,Frank,Support 8,Ms. Lane,1-1,P,Mostly On-task,Math
2023-10-15,Frank,Support 8,Ms. Lane,1-1,L,Mostly On-task,Art
2023-10-09,Frank,Support 8,Ms. Lane,1-1,AE,,
2023-10-01,Frank,Support 8,Ms. Lane,1-1,P,Mostly On-task,Science
2023-10-03,Frank,Support 8,Ms. Lane,1-1,L,Mostly On-task,Socials
2023-10-07,Frank,Support 8,Ms. Lane,1-1,P,Mostly On-task,French
2023-10-09,Grace,Support 9,Ms. Lane,1-1,AE,,
2023-10-03,Grace,Support 9,Ms. Lane,1-1,L,Equally On/Off-task,Socials
2023-10-17,Grace,Support 9,Ms. Lane,1-1,P,Equally On/Off-task,Math
2023-10-01,Grace,Support 9,Ms. Lane,1-1,L,Equally On/Off-task,Socials
2023-10-11,Grace,Support 9,Ms. Lane,1-1,A,,
2023-10-15,Grace,Support 9,Ms. Lane,1-1,P,Equally On/Off-task,Socials
2023-10-07,Grace,Support 9,Ms. Lane,1-1,A,,
2023-10-09,Henry,Support 8,Ms. Lane,1-1,P,Equally On/Off-task,Socials
2023-10-03,Henry,Support 8,Ms. Lane,1-1,P,Equally On/Off-task,Socials
2023-10-01,Henry,Support 8,Ms. Lane,1-1,A,,
2023-10-11,Henry,Support 8,Ms. Lane,1-1,P,Mostly On-task,Socials
2023-10-07,Henry,Support 8,Ms. Lane,1-1,P,On-task*,Math
2023-10-17,Henry,Support 8,Ms. Lane,1-1,P,Mostly On-task,Socials
2023-10-15,Henry,Support 8,Ms. Lane,1-1,P,Equally On/Off-task,Math
2023-10-15,Isla,Support 9,Ms. Lane,1-1,P,On-task,Art
2023-10-01,Isla,Support 9,Ms. Lane,1-1,L,On-task,French
2023-10-03,Isla,Support 9,Ms. Lane,1-1,P,On-task,French
2023-10-11,Isla,Support 9,Ms. Lane,1-1,P,On-task,French
2023-10-07,Isla,Support 9,Ms. Lane,1-1,P,On-task,Art
2023-10-09,Isla,Support 9,Ms. Lane,1-1,L,On-task,Science
2023-10-17,Isla,Support 9,Ms. Lane,1-1,A,,
2023-10-14,Jack,Support 9,Ms. Lane,2-4,P,Mostly Off-task,English
2023-10-02,Jack,Support 9,Ms. Lane,2-4,P,Off-task,Other
2023-10-04,Jack,Support 9,Ms. Lane,2-4,P,Mostly On-task,Science
2023-10-16,Jack,Support 9,Ms. Lane,2-4,P,Mostly Off-task,Science
2023-10-08,Jack,Support 9,Ms. Lane,2-4,P,Mostly Off-task,Science
2023-10-10,Jack,Support 9,Ms. Lane,2-4,P,Mostly Off-task,Science
