Student,Task,Course,Block,Teacher,Grade,Due,Completed,Hidden
Alice,Poetry Project,English 9,1-3,Mr. Fort,9,2024-12-02,False,True
Alice,Quiz 1,French 9,2-1,Ms. Davis,9,2024-12-18,False,False
Alice,Assignment 4,Math 9,1-1,Ms. Johnson,9,2025-02-11,False,True
Alice,Lab Report,Science 9,1-2,Ms. Davis,9,2025-02-20,False,True
Bob,Portrait,Art 8,2-2,Ms. Leyton,8,2025-02-10,False,False
Bob,Geography Project,Socials 8,1-4,Mr. Paul,8,2025-02-12,False,False
Bob,Letter,English 8,1-3,Ms. Kay,8,2025-02-14,False,False
Bob,Assignment 2,Math 8,1-1,Mr. Brown,8,2025-02-15,False,False
Bob,Lab Report,Science 8,1-2,Mr. Brown,8,2025-02-19,False,False
Charlie,Poetry Project,English 9,1-3,Mr. Fort,9,2024-12-02,False,False
Charlie,Quiz 1,French 9,2-1,Ms. Davis,9,2024-12-18,False,False
Charlie,Assignment 4,Math 9,1-1,Ms. Johnson,9,2025-02-11,False,False
Charlie,History Timeline,Socials 9,1-4,Mr. Smith,9,2025-02-16,False,False
Charlie,Lab Report,Science 9,1-2,Ms. Davis,9,2025-02-20,False,False
David,Lab Report,Science 8,1-3,Mr. Brown,8,2024-12-06,False,False
David,Letter,English 8,1-4,Ms. Kay,8,2024-12-10,False,False
David,Geography Project,Socials 8,2-1,Mr. Paul,8,2024-12-15,False,False
David,Assignment 2,Math 8,1-2,Mr. Fort,8,2025-02-18,False,False
Eva,Lab Report,Science 9,1-3,Ms. Davis,9,2024-12-08,False,False
Eva,Assignment 4,Math 9,1-2,Ms. Johnson,9,2024-12-20,False,False
Eva,History Timeline,Socials 9,2-1,Mr. Smith,9,2024-12-22,False,False
Eva,Poetry Project,English 9,1-4,Mr. Fort,9,2025-02-06,False,False
Eva,Quiz 1,French 9,2-2,Mr. Fort,9,2025-02-22,False,False
Frank,Assignment 2,Science 8,1-4,Ms. Johnson,8,2024-12-04,False,False
Frank,Assignment 1,Socials 8,2-2,Mr. Smith,8,2024-12-05,False,False
Frank,Letter,English 8,2-1,Ms. Kay,8,2024-12-12,True,False
Frank,Percentage Project,Math 8,1-3,Ms. Johnson,8,2025-02-09,True,False
Grace,Fractions Quiz,Math 9,1-3,Mr. Paul,9,2024-12-05,False,False
Grace,Quiz 1,English 9,2-1,Mr. Brown,9,2024-12-24,False,False
Grace,Biology Test,Science 9,1-4,Mr. Brown,9,2025-02-21,False,False
Henry,Assignment 2,Science 8,2-1,Ms. Johnson,8,2024-12-10,False,False
Henry,Test 2,Math 8,1-4,Ms. Davis,8,2025-02-07,False,False
Henry,Assignment 2,English 8,2-2,Mr. Brown,8,2025-02-13,False,False
Henry,Assignment 1,Socials 8,2-3,Mr. Smith,8,2025-02-24,False,False
Isla,Lab Report,Science 9,1-3,Ms. Davis,9,2024-12-08,False,False
Isla,Assignment 4,Math 9,1-2,Ms. Johnson,9,2024-12-20,False,False
Isla,History Timeline,Socials 9,2-1,Mr. Smith,9,2024-12-22,False,False
Isla,Poetry Project,English 9,1-4,Mr. Fort,9,2025-02-06,False,False
Isla,Quiz 1,French 9,2-2,Mr. Fort,9,2025-02-22,False,False
Jack,Portrait,Art 8,2-2,Ms. Leyton,8,2025-02-10,False,False
Jack,Geography Project,Socials 8,1-4,Mr. Paul,8,2025-02-12,False,False
Jack,Letter,English 8,1-3,Ms. Kay,8,2025-02-14,False,False
Jack,Assignment 2,Math 8,1-1,Mr. Brown,8,2025-02-15,False,False
Jack,Lab Report,Science 8,1-2,Mr. Brown,8,2025-02-19,False,False
